"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","uploadFileRealSiteTest()","","Mon Jan 12 11:21:20 UTC 2026","broken","Mon Jan 12 11:21:20 UTC 2026","","ui.UploadTests","ui.UploadTests","uploadFileRealSiteTest"
"","223","downloadButtonFolderTest()","","Mon Jan 12 11:21:17 UTC 2026","broken","Mon Jan 12 11:21:17 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","downloadButtonFolderTest"
"","659","testDownloadHttpClient()","","Mon Jan 12 11:21:18 UTC 2026","passed","Mon Jan 12 11:21:18 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","testDownloadHttpClient"
"","202","downloadButtonGetTest()","","Mon Jan 12 11:21:17 UTC 2026","broken","Mon Jan 12 11:21:18 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","downloadButtonGetTest"
"","209","simpleDragAndDropTest()","","Mon Jan 12 11:21:19 UTC 2026","broken","Mon Jan 12 11:21:19 UTC 2026","","ui.UploadTests","ui.UploadTests","simpleDragAndDropTest"
"","4487","downloadAndCheckImageTest()","","Mon Jan 12 11:21:09 UTC 2026","broken","Mon Jan 12 11:21:14 UTC 2026","","ui.FileContentTests","ui.FileContentTests","downloadAndCheckImageTest"
"","2","uploadFileTest()","","Mon Jan 12 11:21:19 UTC 2026","broken","Mon Jan 12 11:21:19 UTC 2026","","ui.UploadTests","ui.UploadTests","uploadFileTest"
"","196","downloadCdpTest()","","Mon Jan 12 11:21:18 UTC 2026","broken","Mon Jan 12 11:21:19 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","downloadCdpTest"
"","3245","testDownloadHttpClient()","","Mon Jan 12 11:21:06 UTC 2026","passed","Mon Jan 12 11:21:09 UTC 2026","","ui.DownloadTests","ui.DownloadTests","testDownloadHttpClient"
"","1615","testFillFormWithBuilder()","","Mon Jan 12 11:21:20 UTC 2026","broken","Mon Jan 12 11:21:21 UTC 2026","","ui.WebFormBuilderTest","ui.WebFormBuilderTest","testFillFormWithBuilder"
"","55","checkExcelTest()","","Mon Jan 12 11:21:09 UTC 2026","failed","Mon Jan 12 11:21:09 UTC 2026","","ui.FileContentTests","ui.FileContentTests","checkExcelTest"
"","14","checkDocTest()","","Mon Jan 12 11:21:17 UTC 2026","failed","Mon Jan 12 11:21:17 UTC 2026","","ui.FileContentTests","ui.FileContentTests","checkDocTest"
"","3596","testDownloadHttpClient()","","Mon Jan 12 11:21:14 UTC 2026","failed","Mon Jan 12 11:21:17 UTC 2026","","ui.FileContentTests","ui.FileContentTests","testDownloadHttpClient"
"","876","apiUploadTest()","","Mon Jan 12 11:21:19 UTC 2026","broken","Mon Jan 12 11:21:20 UTC 2026","","ui.UploadTests","ui.UploadTests","apiUploadTest"
